asn=6014 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 4
asn=6014 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 7
asn=6032 	id=2   	App	generate a packet, seqnum=6 for=-1
asn=6035 	id=1   	App	generate a packet, seqnum=6 for=-1
asn=6045 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 6
asn=6045 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 13
asn=6045 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 5
asn=6045 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 9
asn=6045 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 5
asn=6045 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 7
asn=6057 	id=3   	App	generate a packet, seqnum=6 for=-1
asn=6060 	id=1   	App	generate a packet, seqnum=7 for=-1
asn=6061 	id=2   	App	generate a packet, seqnum=7 for=-1
asn=6069 	id=3   	App	generate a packet, seqnum=7 for=-1
asn=6076 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 7
asn=6076 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 13
asn=6076 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 6
asn=6076 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 9
asn=6076 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 6
asn=6076 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 7
asn=6107 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 7
asn=6107 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 9
asn=6107 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 7
asn=6107 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 7
asn=6110 	id=1   	App	generate a packet, seqnum=8 for=-1
asn=6110 	id=3   	RPL	DIO output to -1
asn=6110 	id=3   	App	generate a packet, seqnum=8 for=-1
asn=6121 	id=2   	App	generate a packet, seqnum=8 for=-1
asn=6126 	id=2   	App	generate a packet, seqnum=9 for=-1
asn=6137 	id=1   	App	generate a packet, seqnum=9 for=-1
asn=6138 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 8
asn=6138 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 13
asn=6138 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 8
asn=6138 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 9
asn=6138 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 4
asn=6138 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 7
asn=6150 	id=3   	App	generate a packet, seqnum=9 for=-1
asn=6155 	id=1   	App	generate a packet, seqnum=10 for=-1
asn=6169 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 9
asn=6169 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 13
asn=6169 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 9
asn=6169 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 9
asn=6169 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 8
asn=6169 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 7
asn=6171 	id=3   	App	generate a packet, seqnum=10 for=-1
asn=6182 	id=2   	App	generate a packet, seqnum=10 for=-1
asn=6188 	id=1   	App	generate a packet, seqnum=11 for=-1
asn=6199 	id=3   	RPL	DIO output to 1
asn=6200 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 10
asn=6200 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 13
asn=6200 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 10
asn=6200 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 9
asn=6200 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 9
asn=6200 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 7
asn=6209 	id=3   	App	generate a packet, seqnum=11 for=-1
asn=6215 	id=2   	App	generate a packet, seqnum=11 for=-1
asn=6219 	id=2   	App	generate a packet, seqnum=12 for=-1
asn=6229 	id=1   	App	generate a packet, seqnum=12 for=-1
asn=6231 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 11
asn=6231 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 13
asn=6231 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 11
asn=6231 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 9
asn=6231 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 10
asn=6231 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 7
asn=6254 	id=3   	App	generate a packet, seqnum=12 for=-1
asn=6262 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 12
asn=6262 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 13
asn=6262 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 12
asn=6262 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 9
asn=6262 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 11
asn=6262 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 7
asn=6265 	id=2   	App	generate a packet, seqnum=13 for=-1
