asn=13329	id=2   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=13468	id=3   	App	generate a packet, seqnum=13 for=1
asn=13482	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=13482	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 5
asn=13482	id=1   	App	rx app packet seqnum=13 from=3
asn=13482	id=3   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=13627	id=2   	App	generate a packet, seqnum=14 for=1
asn=13635	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=13635	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 6
asn=13635	id=1   	App	rx app packet seqnum=14 from=2
asn=13635	id=2   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=14085	id=-1  	Main	240 seconds, progress 40.00%
asn=14085	id=-1  	Main	periodic route processing for all nodes
asn=14085	id=1   	TSCH	chloe stats: {"idle_listen":1214,"channel_scan":0,"rx_data":0,"rx_data_tx_ack":33,"tx_data":22,"tx_data_rx_ack":2}
asn=14085	id=2   	TSCH	chloe stats: {"idle_listen":1280,"channel_scan":1,"rx_data":6,"rx_data_tx_ack":1,"tx_data":1,"tx_data_rx_ack":19}
asn=14085	id=3   	TSCH	chloe stats: {"idle_listen":1281,"channel_scan":1,"rx_data":5,"rx_data_tx_ack":1,"tx_data":1,"tx_data_rx_ack":18}
asn=14199	id=3   	App	generate a packet, seqnum=14 for=1
asn=14213	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=14213	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 5
asn=14213	id=1   	App	rx app packet seqnum=14 from=3
asn=14213	id=3   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=14293	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 18
asn=14293	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=14551	id=3   	App	generate a packet, seqnum=15 for=1
asn=14553	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=14553	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 5
asn=14553	id=1   	App	rx app packet seqnum=15 from=3
